codetable:
\n 	 01101
SPACE 	 00
''' 	 011001
',' 	 1110101
'.' 	 11101001
'?' 	 0110000000
'A' 	 1011011001
'B' 	 0110001101
'C' 	 011000111
'E' 	 01100000010
'F' 	 01100000011
'G' 	 01100010
'H' 	 01100000111
'I' 	 01011
'K' 	 01100011000
'N' 	 01100000100
'O' 	 01100000101
'S' 	 1011011000
'T' 	 01100001
'W' 	 101101101
'a' 	 11100
'b' 	 101100
'c' 	 1011010
'd' 	 10100
'e' 	 1111
'f' 	 101110
'g' 	 111011
'h' 	 11001
'i' 	 10010
'j' 	 01100011001
'k' 	 11101000
'l' 	 10000
'm' 	 100011
'n' 	 0100
'o' 	 1101
'p' 	 10110111
'r' 	 10101
's' 	 11000
't' 	 0111
'u' 	 01010
'v' 	 100010
'w' 	 101111
'x' 	 01100000110
'y' 	 10011
